pitch_rad,pitch_rate_rad,yaw_rad,yaw_rate_rad,pwm
0.002628,0.079603,-0.068068,0.000941,0.0
0.004071,0.041499,-0.068058,-0.001458,-4.0
0.004612,0.005793,-0.068022,0.002006,-5.0
0.004371,-0.017922,-0.068003,-0.000658,-4.0
0.003754,-0.028048,-0.067963,0.002539,-3.0
0.003036,-0.019521,-0.067948,0.001207,-2.0
0.002784,0.000197,-0.067917,0.002006,-1.0
0.00295,0.011122,-0.067926,-0.002257,-2.0
0.003285,0.012188,-0.067898,-0.000392,-2.0
0.003393,0.002595,-0.067902,0.000408,-3.0
0.00327,-0.005132,-0.067882,0.000674,-3.0
0.003064,-0.006731,-0.067888,-0.000925,-2.0
0.003025,0.000464,-0.067872,-0.000925,-2.0
0.003311,0.011389,-0.067875,0.000941,-3.0
0.003817,0.017251,-0.067875,0.002273,-4.0
0.004278,0.012721,-0.067864,0.001207,-5.0
0.004479,0.002595,-0.067856,0.000141,-6.0
0.004165,-0.016057,-0.067837,0.002006,-5.0
0.00331,-0.030712,-0.067822,-0.000658,-3.0
0.0024,-0.026449,-0.067794,0.002006,-1.0
0.001652,-0.021653,-0.067767,0.002806,0.0
0.001367,-0.001668,-0.067718,0.004405,0.0
0.001374,0.017784,-0.067693,0.001207,0.0
0.001837,0.023113,-0.067667,-0.000658,0.0
0.002684,0.03164,-0.067662,-0.000925,-3.0
0.003846,0.049759,-0.067672,-0.003323,-5.0
0.005191,0.047095,-0.067675,0.000141,-9.0
0.00629,0.034571,-0.067654,0.002806,-11.0
0.006452,-0.006198,-0.067324,0.017461,-12.0
0.006259,-0.020853,-0.067203,-0.000392,-11.0
0.005088,-0.047233,-0.067192,-0.000392,-9.0
0.003665,-0.058158,-0.067178,0.001207,-5.0
0.002121,-0.0467,-0.067166,-0.001724,-2.0
0.001159,-0.024051,-0.067156,0.000141,0.0
0.000865,0.00979,-0.067138,-0.000125,0.0
0.001173,0.021248,-0.067104,-0.000125,0.0
0.001532,0.019915,-0.067079,0.000941,-1.0
0.002194,0.033771,-0.067075,-0.000392,-3.0
0.003289,0.043098,-0.067081,-0.000925,-5.0
0.004469,0.040699,-0.06709,0.000674,-8.0
0.00552,0.027909,-0.067086,0.000408,-11.0
0.005942,0.002329,-0.067076,0.000674,-12.0
